Table-3.2: District wise Actual and Normal Rainfall (Monsoon & Non Monsoon)
District Monsoon Non-Monsoon
Actual (mm) Normal (mm) Actual (mm) Normal (mm)
Ahmednagar 419.3 443.7 58.4 131.1
Akola 503.7 699.9 121.4 78.1
Amravati 663.0 882.2 143.3 105.6
Aurangabad 525.3 541.3 0.3 52.1
Beed 455.4 573.8 145.0 118.6
Bhandara 1142.0 1174.2 0.0 147.2
Buldhana 651.4 684.2 161.9 77.7
Chandrapur 1150.6 1129.4 0.0 147.2
Dhule 437.4 623.8 61.3 24.5
Gadchiroli 1310.1 1120.6 0.0 0.0
Gondia 1120.0 1333.6 0.0 158.3
Hingoli 765.9 859.8 0.0 120.2
Jalgaon 596.6 616.0 83.9 61.8
Jalna 485.3 637.9 122.3 49.1
Kolhapur 1249.4 1609.9 0.0 119.4
Latur 496.9 701.8 187.3 0.0
Mumbai 2425.6 2094.5 73.9 110.5
Mumbai Sub 2795.4 2088.7 41.6 106.3
Nagpur 951.9 989.6 208.4 145.1
Nanded 865.2 915.5 0.0 133.2
Nandurbar 631.2 882.7 0.0 30.6
Nashik 437.9 610.6 50.1 72.8
Osmanabad 326.6 551.2 120.9 83.3
Palghar 2718.5 2327.1 0.0 76.3
Parbhani 642.3 527.6 14.8 62.6
Pune 743.6 770.7 0.0 42.1
Raigad 3303.0 3303.0 0.0 0.0
Ratnagiri 3118.5 3314.7 129.1 245.3
Sangli 317.3 431.8 34.0 184.8
Satara 551.6 594.1 42.2 103.6
Sindhudurg 3110.1 3553.5 0.0 276.4
Solapur 400.1 556.7 114.2 85.0
Thane 2645.4 2406.6 0.0 96.4
Wardha 838.8 927.3 48.1 120.5
Washim 668.4 821.9 119.8 80.8
Yavatmal 947.5 865.0 161.3 146.9
State 1085.3 1144.9 62.0 99.5
